lensDB by rayfor,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
lensName,vender,version,nominalFocalLength,nominalFNumber,efl,bfl,flangeDistance,totalLength,rearLength,filterThread,frontDiameter,rearDiameter,nominalImageCircleFull,nominalAngleOfViewFull,nominalImageCircleMax,nominalAngleOfViewMax
SUPER-ANGULON_90_5.6,Schneider Kreuznach,1995_Compur_0,90,5.6,90.5,61.2,103.1,93.5,42.5,M82x0.75,85,77,187,92,235,105
SUPER-ANGULON_90_5.6,Schneider Kreuznach,1995_ProntorProf_01S,90,5.6,90.5,61.2,103,93.5,42.4,M82x0.75,85,77,187,92,235,105
SUPER-ANGULON_90_5.6,Schneider Kreuznach,1995_Copal_0,90,5.6,90.5,61.2,102.7,93.5,42.1,M82x0.75,85,77,187,92,235,105
SUPER-ANGULON_90_8,Schneider Kreuznach,1995_Compur_0,90,8,90.4,67,99.2,74.9,32.7,M67x0.75,70,57,187,92,216,100
SUPER-ANGULON_90_8,Schneider Kreuznach,1995_ProntorProf_01S,90,8,90.4,67,99.1,74.9,32.6,M67x0.75,70,57,187,92,216,100
SUPER-ANGULON_90_8,Schneider Kreuznach,1995_Copal_0,90,8,90.4,67,98.8,74.9,32.3,M67x0.75,70,57,187,92,216,100
SUPER-ANGULON_120_8,Schneider Kreuznach,1995_Compur_0,120,8,121.4,90.2,133.5,96.1,43.7,M82x0.75,85,75,250,92,288,100
SUPER-ANGULON_120_8,Schneider Kreuznach,1995_ProntorProf_01S,120,8,121.4,90.2,133.4,96.1,43.6,M82x0.75,85,75,250,92,288,100
SUPER-ANGULON_120_8,Schneider Kreuznach,1995_Copal_0,120,8,121.4,90.2,133.1,96.1,43.3,M82x0.75,85,75,250,92,288,100
SUPER-ANGULON_165_8,Schneider Kreuznach,1995_Compur_3,165,8,165.7,123.2,179.2,135.5,60.6,M110x1,115,100,342,92,395,100
SUPER-ANGULON_165_8,Schneider Kreuznach,1995_ProntorProf_3,165,8,165.7,123.2,178.1,135.5,59.5,M110x1,115,100,342,92,395,100
SUPER-ANGULON_165_8,Schneider Kreuznach,1995_Copal_3,165,8,165.7,123.2,179.2,135.5,60.6,M110x1,115,100,342,92,395,100
SUPER-ANGULON_210_8,Schneider Kreuznach,1995_Compur_3,210,8,210.2,156.6,229.4,169.5,76.7,M135x1,140,125,435,92,500,100
SUPER-ANGULON_210_8,Schneider Kreuznach,1995_ProntorProf_3,210,8,210.2,156.6,228.3,169.5,75.6,M135x1,140,125,435,92,500,100
SUPER-ANGULON_210_8,Schneider Kreuznach,1995_Copal_3,210,8,210.2,156.6,229.4,169.5,76.7,M135x1,140,125,435,92,500,100
SUPER-ANGULON_XL_38_5.6,Schneider Kreuznach,Brochure_Copal_0,38,5.6,39.4,,52.1,59.5,30.4,M72x0.75,75,60,96,101,139,120
SUPER-ANGULON_90_6.8,Schneider Kreuznach,Brochure_Copal_0,90,6.8,90.6,,103.4,97.7,45.4,M82x0.75,90,80,188,92,216,100
SUPER-SYMMAR-ASPHERIC_XL_80_4.5,Schneider Kreuznach,Brochure_Copal_0,80,4.5,81,,84.7,51.3,14.8,M67x0.75,70,43,150,86,211,105
SUPER-SYMMAR-ASPHERIC_XL_110_5.6,Schneider Kreuznach,Brochure_Copal_1,110,5.6,109.9,,117.2,60,18.9,M67x0.75,70,54,186,80,288,105
SUPER-SYMMAR-ASPHERIC_XL_150_5.6,Schneider Kreuznach,Brochure_Copal_1,150,5.6,147.7,,157.9,80,24.2,M95x1,100,65,248,80,386,105
SUPER-SYMMAR-ASPHERIC_XL_210_5.6,Schneider Kreuznach,Brochure_Copal_3,210,5.6,209.2,,216.3,120,35.6,M135x1,140,75,357,81,500,100
APO-SYMMAR_L_120_5.6,Schneider Kreuznach,Brochure_Copal_0,120,5.6,123.2,,116.3,42.4,16.5,M52x0.75,54,54,148,62,189,75
APO-SYMMAR_L_150_5.6,Schneider Kreuznach,Brochure_Copal_0,150,5.6,151.5,,142.2,53.1,21.1,M58x0.75,60,60,182,62,233,75
APO-SYMMAR_L_180_5.6,Schneider Kreuznach,Brochure_Copal_1,180,5.6,180.4,,177.7,62.8,28.1,M72x0.75,75,75,217,62,277,75
APO-SYMMAR_L_210_5.6,Schneider Kreuznach,Brochure_Copal_1,210,5.6,209,,208.1,73.5,35.8,M77x0.75,80,80,251,62,321,75
APO-SYMMAR_L_300_5.6,Schneider Kreuznach,Brochure_Copal_3,300,5.6,296.3,,283.1,96.1,35.3,M105x1,110,80,356,62,430,72
APO-SYMMAR_L_480_8.4,Schneider Kreuznach,Brochure_Copal_3,480,8.4,469.4,,454,129.4,55.7,M105x1,110,110,384,44,500,56
APO-TELE-XENAR_250_5.6,Schneider Kreuznach,Brochure_Copal_1,250,5.6,250.3,,195.1,105,36.6,M82x0.75,86,58,171,38,190,42
APO-TELE-XENAR_400_5.6,Schneider Kreuznach,Brochure_Copal_3,400,5.6,387.4,,285.1,107,28.3,M82x0.75,85,60,250,36,250,36
APO-TELE-XENAR_600_9,Schneider Kreuznach,Brochure_Copal_3,600,9,598.5,,461.3,168.5,65.9,M105x1,112,90,312,29,400,37
APO-TELE-XENAR_800_12,Schneider Kreuznach,Brochure_Copal_3,800,12,796.6,,628.2,169.9,67.3,M105x1,112,90,400,28,480,34
MAKRO-SYMMAR_HM_80_5.6,Schneider Kreuznach,Brochure_Copal_0,80,5.6,81.5,,159.4,47.9,19.6,M40.5x0.5,42,31.5,,,,
MAKRO-SYMMAR_HM_120_5.6,Schneider Kreuznach,Brochure_Copal_0,120,5.6,119.9,,235,55.1,23.2,M40.5x0.5,42,37.5,,,,
MAKRO-SYMMAR_HM_180_5.6,Schneider Kreuznach,Brochure_Copal_1,180,5.6,179.9,,354.3,80.4,35.7,M58x0.75,60,57,,,,
SYMMAR-S_100_5.6,Schneider Kreuznach,Brochure_Compur_0,100,5.6,102.1,84.6,96.6,38.5,13.1,M40.5x0.5,42,31.5,118,60,143,70
SYMMAR-S_100_5.6,Schneider Kreuznach,Brochure_ProntorProf_01S,100,5.6,102.1,84.6,94.1,38.5,10.6,M40.5x0.5,42,31.5,118,60,143,70
SYMMAR-S_100_5.6,Schneider Kreuznach,Brochure_Copal_0,100,5.6,102.1,84.6,96.2,38.5,12.7,M40.5x0.5,42,31.5,118,60,143,70
SYMMAR-S_100_5.6,Schneider Kreuznach,Brochure_BK_0,100,5.6,102.1,84.6,96.6,38.5,13.1,M40.5x0.5,42,31.5,118,60,143,70
SYMMAR-S_120_5.6,Schneider Kreuznach,Brochure_Compur_0,120,5.6,123.4,102.1,118.3,45,16.6,M49x0.75,51,38,142,60,173,70
SYMMAR-S_120_5.6,Schneider Kreuznach,Brochure_ProntorProf_01S,120,5.6,123.4,102.1,115.8,45,14.1,M49x0.75,51,38,142,60,173,70
SYMMAR-S_120_5.6,Schneider Kreuznach,Brochure_Copal_0,120,5.6,123.4,102.1,117.9,45,16.2,M49x0.75,51,38,142,60,173,70
SYMMAR-S_120_5.6,Schneider Kreuznach,Brochure_BK_0,120,5.6,123.4,102.1,118.3,45,16.6,M49x0.75,51,38,142,60,173,70
SYMMAR-S_135_5.6,Schneider Kreuznach,Brochure_Compur_0,135,5.6,135.4,112.3,128.9,47.6,17.6,M49x0.75,51,40.5,156,60,190,70
SYMMAR-S_135_5.6,Schneider Kreuznach,Brochure_ProntorProf_01S,135,5.6,135.4,112.3,126.4,47.6,15.1,M49x0.75,51,40.5,156,60,190,70
SYMMAR-S_135_5.6,Schneider Kreuznach,Brochure_Copal_0,135,5.6,135.4,112.3,128.5,47.6,17.2,M49x0.75,51,40.5,156,60,190,70
SYMMAR-S_135_5.6,Schneider Kreuznach,Brochure_BK_0,135,5.6,135.4,112.3,128.9,47.6,17.6,M49x0.75,51,40.5,156,60,190,70
SYMMAR-S_150_5.6,Schneider Kreuznach,Brochure_Compur_0,150,5.6,150.3,125,143.5,55,19.1,M58x0.75,60,40.5,174,60,210,70
SYMMAR-S_150_5.6,Schneider Kreuznach,Brochure_Compur_1,150,5.6,150.3,125,142.2,55,17.8,M58x0.75,60,40.5,174,60,210,70
SYMMAR-S_150_5.6,Schneider Kreuznach,Brochure_ProntorProf_1S,150,5.6,150.3,125,141,55,16.6,M58x0.75,60,40.5,174,60,210,70
SYMMAR-S_150_5.6,Schneider Kreuznach,Brochure_Copal_0,150,5.6,150.3,125,143.1,55,18.7,M58x0.75,60,40.5,174,60,210,70
SYMMAR-S_150_5.6,Schneider Kreuznach,Brochure_BK_0,150,5.6,150.3,125,143.5,55,19.1,M58x0.75,60,40.5,174,60,210,70
SYMMAR-S_180_5.6,Schneider Kreuznach,Brochure_Compur_1,180,5.6,180,149.5,171.2,64,22.8,M67x0.75,70,50,208,60,252,70
SYMMAR-S_180_5.6,Schneider Kreuznach,Brochure_ProntorProf_1S,180,5.6,180,149.5,169.8,64,21.5,M67x0.75,70,50,208,60,252,70
SYMMAR-S_180_5.6,Schneider Kreuznach,Brochure_Copal_1,180,5.6,180,149.5,171.3,64,22.8,M67x0.75,70,50,208,60,252,70
SYMMAR-S_180_5.6,Schneider Kreuznach,Brochure_BK_1,180,5.6,180,149.5,171.2,64,22.8,M67x0.75,70,50,208,60,252,70
SYMMAR-S_210_5.6,Schneider Kreuznach,Brochure_Compur_1,210,5.6,209.9,174.7,200.9,73,27,M77x0.75,80,57,242,60,294,70
SYMMAR-S_210_5.6,Schneider Kreuznach,Brochure_ProntorProf_1S,210,5.6,209.9,174.7,199.5,73,25.7,M77x0.75,80,57,242,60,294,70
SYMMAR-S_210_5.6,Schneider Kreuznach,Brochure_Copal_1,210,5.6,209.9,174.7,201,73,27.1,M77x0.75,80,57,242,60,294,70
SYMMAR-S_210_5.6,Schneider Kreuznach,Brochure_BK_1,210,5.6,209.9,174.7,200.9,73,27,M77x0.75,80,57,242,60,294,70
SYMMAR-S_240_5.6,Schneider Kreuznach,Brochure_Compur_3,240,5.6,240.8,200.4,229,83.5,29.6,M86x1,90,65,278,60,337,70
SYMMAR-S_240_5.6,Schneider Kreuznach,Brochure_ProntorProf_3,240,5.6,240.8,200.4,227.9,83.5,28.5,M86x1,90,65,278,60,337,70
SYMMAR-S_240_5.6,Schneider Kreuznach,Brochure_Copal_3,240,5.6,240.8,200.4,229,83.5,29.6,M86x1,90,65,278,60,337,70
SYMMAR-S_240_5.6,Schneider Kreuznach,Brochure_BK_3,240,5.6,240.8,200.4,229,83.5,29.6,M86x1,90,65,278,60,337,70
SYMMAR-S_300_5.6,Schneider Kreuznach,Brochure_Compur_3,300,5.6,293.8,244.1,280,101.5,36.8,M105x1,110,80,339,60,411,70
SYMMAR-S_300_5.6,Schneider Kreuznach,Brochure_ProntorProf_3,300,5.6,293.8,244.1,278.9,101.5,35.7,M105x1,110,80,339,60,411,70
SYMMAR-S_300_5.6,Schneider Kreuznach,Brochure_Copal_3,300,5.6,293.8,244.1,280,101.5,36.8,M105x1,110,80,339,60,411,70
SYMMAR-S_300_5.6,Schneider Kreuznach,Brochure_BK_3,300,5.6,293.8,244.1,280,101.5,36.8,M105x1,110,80,339,60,411,70
SYMMAR-S_360_6.8,Schneider Kreuznach,Brochure_Compur_3,360,6.8,350.5,292.5,335.8,112,44.6,M120x1,125,92,405,60,491,70
SYMMAR-S_360_6.8,Schneider Kreuznach,Brochure_ProntorProf_3,360,6.8,350.5,292.5,334.7,112,43.5,M120x1,125,92,405,60,491,70
SYMMAR-S_360_6.8,Schneider Kreuznach,Brochure_Copal_3,360,6.8,350.5,292.5,335.8,112,44.6,M120x1,125,92,405,60,491,70
SYMMAR-S_360_6.8,Schneider Kreuznach,Brochure_BK_3,360,6.8,350.5,292.5,335.8,112,44.6,M120x1,125,92,405,60,491,70
SYMMAR-S_480_8.4,Schneider Kreuznach,Brochure_Copal_3,480,8.4,470.5,400.8,455.2,128.1,54.9,M105x1,110,92,370,43,500,56
SYMMAR-S_480_9.4,Schneider Kreuznach,Brochure_Compur_3,480,9.4,470.5,400.8,455.2,128.1,54.9,M105x1,110,80,370,43,500,56
SYMMAR-S_480_9.4,Schneider Kreuznach,Brochure_ProntorProf_3,480,9.4,470.5,400.8,454.1,128.1,53.8,M105x1,110,80,370,43,500,56
SYMMAR-S_480_9.4,Schneider Kreuznach,Brochure_BK_3,480,9.4,470.5,400.8,455.2,128.1,54.9,M105x1,110,80,370,43,500,56
SUPER-SYMMAR_HM_120_5.6,Schneider Kreuznach,Brochure_Compur_0,120,5.6,121.6,102.3,135.7,80.3,39.6,M67x0.75,70,54,180,73,211,82
SUPER-SYMMAR_HM_120_5.6,Schneider Kreuznach,Brochure_ProntorProf_01S,120,5.6,121.6,102.3,133.2,80.3,37.1,M67x0.75,70,54,180,73,211,82
SUPER-SYMMAR_HM_120_5.6,Schneider Kreuznach,Brochure_Copal_0,120,5.6,121.6,102.3,135.3,80.3,39.2,M67x0.75,70,54,180,73,211,82
SUPER-SYMMAR_HM_150_5.6,Schneider Kreuznach,Brochure_Compur_1,150,5.6,151.3,121,168.2,101.2,53.7,M77x0.75,80,70,220,73,254,80
SUPER-SYMMAR_HM_150_5.6,Schneider Kreuznach,Brochure_ProntorProf_1S,150,5.6,151.3,121,166.2,101.2,52.4,M77x0.75,80,70,220,73,254,80
SUPER-SYMMAR_HM_150_5.6,Schneider Kreuznach,Brochure_Copal_1,150,5.6,151.3,121,168.3,101.2,53.7,M77x0.75,80,70,220,73,254,80
SUPER-SYMMAR_HM_210_5.6,Schneider Kreuznach,Brochure_Compur_3,210,5.6,212.3,175.8,227.2,122.1,58.6,M100x1,105,80,300,70,356,80
SUPER-SYMMAR_HM_210_5.6,Schneider Kreuznach,Brochure_ProntorProf_3,210,5.6,212.3,175.8,226.1,122.1,57.5,M100x1,105,80,300,70,356,80
SUPER-SYMMAR_HM_210_5.6,Schneider Kreuznach,Brochure_Copal_3,210,5.6,212.3,175.8,227.2,122.1,58.6,M100x1,105,80,300,70,356,80
APO-DIGITAR_XL_24_5.6,Schneider Kreuznach,Brochure_SchneiderElectronic_0,24,5.6,24.9,,26.4,37.8,14.4,M52x0.75,54,43,60,100,60,100
APO-DIGITAR_XL_24_5.6,Schneider Kreuznach,Brochure_RolleiElectronic_0,24,5.6,24.9,,24.2,37.8,12.2,M52x0.75,54,43,60,100,60,100
DIGITAR_L_28_2.8,Schneider Kreuznach,Brochure_SchneiderElectronic_0,28,2.8,29.3,,69.9,81.1,20.6,M77x0.75,85,30,60,92,60,92
DIGITAR_L_28_2.8,Schneider Kreuznach,Brochure_RolleiElectronic_0,28,2.8,29.3,,67.7,81.1,18.4,M77x0.75,85,30,60,92,60,92
APO-DIGITAR_XL_35_5.6,Schneider Kreuznach,Brochure_SchneiderElectronic_0,35,5.6,36.4,,39.4,44,17.4,M52x0.75,54,43,70,88,90,102
APO-DIGITAR_XL_35_5.6,Schneider Kreuznach,Brochure_RolleiElectronic_0,35,5.6,36.4,,37.2,44,15.2,M52x0.75,54,43,70,88,90,102
APO-DIGITAR_XL_47_5.6,Schneider Kreuznach,Brochure_SchneiderElectronic_0,47,5.6,47.6,,52.3,54.7,22,M52x0.75,54,43,98,92,113,100
APO-DIGITAR_XL_47_5.6,Schneider Kreuznach,Brochure_RolleiElectronic_0,47,5.6,47.6,,50.1,54.7,19.8,M52x0.75,54,43,98,92,113,100
APO-DIGITAR_N_60_4.0,Schneider Kreuznach,Brochure_SchneiderElectronic_0,60,4,59.9,,55.1,42.5,15,M40.5x0.5,42,31,60,53,60,53
APO-DIGITAR_N_60_4.0,Schneider Kreuznach,Brochure_RolleiElectronic_0,60,4,59.9,,52.9,42.5,12.8,M40.5x0.5,42,31,60,53,60,53
APO-DIGITAR_L_72_5.6,Schneider Kreuznach,Brochure_SchneiderElectronic_0,72,5.6,74.8,,68.4,36.4,9.8,M40.5x0.5,43,35,90,62,90,62
APO-DIGITAR_L_72_5.6,Schneider Kreuznach,Brochure_RolleiElectronic_0,72,5.6,74.8,,66.2,36.4,7.7,M40.5x0.5,43,35,90,62,90,62
APO-DIGITAR_L_80_4.0,Schneider Kreuznach,Brochure_SchneiderElectronic_0,80,4,80.3,,78.8,42.6,14.6,M40.5x0.5,42,31,80,53,90,59
APO-DIGITAR_L_80_4.0,Schneider Kreuznach,Brochure_RolleiElectronic_0,80,4,80.3,,76.6,42.6,12.4,M40.5x0.5,42,31,80,53,90,59
APO-DIGITAR_N_90_4.5,Schneider Kreuznach,Brochure_SchneiderElectronic_0,90,4.5,90.7,,86.8,48.7,20.7,M40.5x0.5,42,34,90,53,90,53
APO-DIGITAR_N_90_4.5,Schneider Kreuznach,Brochure_RolleiElectronic_0,90,4.5,90.7,,84.6,48.7,18.5,M40.5x0.5,42,34,90,53,90,53
